t_opti,x_opti,y_opti,z_opti,qx_opti,qy_opti,qz_opti,qw_opti
0,0.128665,-0.719521,-0.048227,0.036906,0.132684,-0.029819,-0.990022
0.008333,0.128631,-0.719525,-0.048257,0.036937,0.132739,-0.029869,-0.990012
0.016667,0.128614,-0.719528,-0.048288,0.036907,0.132755,-0.029851,-0.990012
0.025,0.128601,-0.719539,-0.048313,0.036854,0.132783,-0.029836,-0.99001
0.033333,0.12859,-0.719554,-0.048338,0.036768,0.132801,-0.029853,-0.990011
0.041667,0.12858,-0.71958,-0.04836,0.036667,0.132813,-0.029849,-0.990013
0.05,0.128574,-0.719611,-0.048382,0.036546,0.132842,-0.029841,-0.990014
0.058333,0.128581,-0.719657,-0.048407,0.036475,0.132899,-0.029857,-0.990008
0.066667,0.128561,-0.719692,-0.048447,0.036612,0.133093,-0.029936,-0.989975
0.075,0.128563,-0.719732,-0.048473,0.036389,0.133122,-0.029886,-0.98998
0.083333,0.128393,-0.71959,-0.048669,0.034944,0.130226,-0.032072,-0.990349
0.091667,0.128556,-0.719818,-0.048491,0.036031,0.133088,-0.029868,-0.989999
0.1,0.128561,-0.719855,-0.048503,0.035892,0.133078,-0.029874,-0.990005
0.108333,0.128579,-0.719901,-0.04848,0.035486,0.132875,-0.029753,-0.99005
0.116667,0.128586,-0.719932,-0.048484,0.035359,0.132853,-0.029775,-0.990057
0.125,0.128585,-0.719964,-0.048479,0.035235,0.13279,-0.029806,-0.990069
0.133333,0.128594,-0.719983,-0.048471,0.035198,0.132741,-0.02983,-0.990076
0.141667,0.128602,-0.719996,-0.048464,0.035154,0.132691,-0.029863,-0.990084
0.15,0.128608,-0.720002,-0.048454,0.035108,0.132621,-0.029893,-0.990094
0.158333,0.128616,-0.719997,-0.048442,0.035127,0.132575,-0.029897,-0.990099
0.166667,0.128622,-0.719991,-0.048423,0.035204,0.132535,-0.029917,-0.990101
